,name,lat,lon,temp,humidity,cloudiness,windspeed,country,date
265,Melur,10.05,78.3333,293.36,61,53,2.73,IN,1676233767
266,Ulaanbaatar,47.9077,106.8832,247.22,76,21,1.0,MN,1676233768
267,Santa Marinella,42.0345,11.8536,282.42,54,1,3.81,IT,1676233768
268,Petropavlovsk-Kamchatskiy,53.0452,158.6483,252.48,71,0,5.0,RU,1676233769
269,Tynda,55.1667,124.7167,251.28,96,100,1.74,RU,1676233769
270,Krasnosel'kup,65.7,82.4667,259.13,92,100,9.46,RU,1676233770
271,Belmonte,-15.8631,-38.8828,300.93,72,14,3.53,BR,1676233770
272,Balkhash,46.844,74.9804,250.26,100,70,3.4,KZ,1676233771
273,Carutapera,-1.195,-46.02,300.98,75,53,3.55,BR,1676233771
274,Torbay,47.6666,-52.7314,268.47,75,75,10.29,CA,1676233772
275,Banda Aceh,5.5577,95.3222,298.3,84,53,2.0,ID,1676233772
276,Assiut,27.181,31.1837,284.25,42,56,3.88,EG,1676233773
277,Camacha,33.0833,-16.3333,288.83,82,40,3.6,PT,1676233773
278,Gobabis,-22.45,18.9667,299.11,23,2,4.38,NA,1676233773
279,Kahului,20.8947,-156.47,296.95,80,40,8.05,US,1676233774
280,Marsh Harbour,26.5412,-77.0636,297.88,74,11,9.96,BS,1676233774
281,Clyde River,70.4692,-68.5914,235.28,67,0,1.54,CA,1676233775
282,Lac du Bonnet,50.2536,-96.0612,273.23,92,84,4.45,CA,1676233775
283,Richards Bay,-28.783,32.0377,299.0,85,100,5.81,ZA,1676233776
284,Pau dos Ferros,-6.1125,-38.2063,307.19,30,99,1.81,BR,1676233777
285,Isangel,-19.55,169.2667,298.21,94,100,4.12,VU,1676233777
286,The Pas,53.8251,-101.2541,274.16,69,20,7.72,CA,1676233777
287,Najrān,17.4924,44.1277,293.51,42,0,1.67,SA,1676233485
288,São Filipe,14.8961,-24.4956,294.76,78,100,2.88,CV,1676233778
289,San Matías,-16.3667,-58.4,300.19,77,97,1.78,BO,1676233778
290,Nelson Bay,-32.7167,152.15,296.18,81,87,4.92,AU,1676233779
291,Kokemäki,61.2565,22.3564,277.03,83,100,4.34,FI,1676233779
292,Kloulklubed,7.0419,134.2556,298.43,79,79,6.61,PW,1676233780
293,Gallup,35.5281,-108.7426,285.06,39,0,3.6,US,1676233780
294,Kibre Mengist,5.8833,38.9833,286.97,29,0,1.46,ET,1676233781
295,Dunedin,-45.8742,170.5036,289.71,76,98,0.45,NZ,1676233781
296,Galle,6.0367,80.217,298.07,85,100,1.61,LK,1676233782
297,Faanui,-16.4833,-151.75,300.79,75,83,5.1,PF,1676233783
298,Palmer,42.1584,-72.3287,283.02,30,75,0.45,US,1676233774
299,Río Gallegos,-51.6226,-69.2181,287.18,33,75,7.2,AR,1676233783
300,Qaqortoq,60.7167,-46.0333,259.4,71,100,1.66,GL,1676233784
301,Ubari,26.5921,12.7805,284.99,26,53,3.22,LY,1676233784
302,Cherskiy,68.75,161.3,231.03,100,89,1.4,RU,1676233785
303,Hohhot,40.8106,111.6522,263.31,52,0,2.0,CN,1676233785
304,Lensk,60.7253,114.9278,259.84,93,100,4.49,RU,1676233786
305,Yulara,-25.2406,130.9889,300.84,25,18,5.16,AU,1676233786
306,Valparaíso,-33.0393,-71.6273,301.28,52,0,7.72,CL,1676233645
307,Grants,35.1473,-107.8514,286.28,19,0,3.6,US,1676233787
308,San Andrés,12.5847,-81.7006,302.16,70,40,7.2,CO,1676233787
309,Viedma,-40.8135,-62.9967,305.68,20,1,1.01,AR,1676233661
310,Marabu,4.4148,114.0089,298.23,88,40,1.54,MY,1676233788
311,Alexandria,31.2156,29.9553,283.45,56,92,3.6,EG,1676233521
312,Vila Velha,-20.3297,-40.2925,302.12,78,20,7.2,BR,1676233789
313,Jiujiang,29.7333,115.9833,282.62,86,100,5.17,CN,1676233789
314,Chebarkul',54.9749,60.3633,254.74,99,91,1.87,RU,1676233790
315,Manokwari,-0.8667,134.0833,298.59,81,100,2.53,ID,1676233790
316,Portland,45.5234,-122.6762,285.08,80,75,2.68,US,1676233507
317,Ciudad Bolivar,8.1222,-63.5497,305.49,40,100,5.43,VE,1676233791
318,Pemba,-12.974,40.5178,298.45,84,100,3.79,MZ,1676233791
319,San Juan,-31.5375,-68.5364,313.64,15,0,2.91,AR,1676233792
320,Aswān,24.0934,32.907,289.76,36,0,4.12,EG,1676233792
321,Bunia,1.5667,30.25,295.49,29,90,2.4,CD,1676233792
322,Smithers,54.7804,-127.1743,277.33,87,75,4.63,CA,1676233555
323,Bowen,-20.0167,148.2333,298.58,75,6,2.5,AU,1676233793
324,Port Lincoln,-34.7333,135.8667,287.63,75,13,4.8,AU,1676233794
325,Ketchikan,55.3422,-131.6461,280.41,87,100,2.57,US,1676233794
326,Seoul,37.5683,126.9778,277.81,84,75,2.06,KR,1676233693
327,Ikeda,34.8221,135.4298,282.55,93,100,2.57,JP,1676233795
328,Fare,-16.7,-151.0167,300.48,75,100,4.71,PF,1676233795
329,Zhigansk,66.7697,123.3711,233.1,97,24,4.19,RU,1676233795
330,Abu Dhabi,24.4667,54.3667,295.16,56,0,2.57,AE,1676233783
331,Ingham,42.6,-84.3833,285.12,28,0,2.57,US,1676233796
332,Peace River,56.2501,-117.286,275.32,86,100,5.66,CA,1676233652
333,Bonnyville,54.2668,-110.735,274.04,87,100,2.88,CA,1676233797
334,Morgan City,29.6994,-91.2068,289.83,33,0,2.06,US,1676233797
335,Mufumbwe,-13.6833,24.8,292.85,78,100,1.75,ZM,1676233798
336,Santa Maria,-29.6842,-53.8069,309.76,28,0,3.09,BR,1676233798
337,Touros,-5.1989,-35.4608,301.41,70,100,6.45,BR,1676233799
338,Luganville,-15.5333,167.1667,299.63,82,100,1.22,VU,1676233799
339,Lavrentiya,65.5833,-171.0,245.69,90,100,2.68,RU,1676233800
340,Tripoli,32.8752,13.1875,286.68,65,100,3.96,LY,1676233503
341,Laas,46.6166,10.7002,279.64,74,14,0.81,IT,1676233801
342,Dmitrovsk-Orlovskiy,52.505,35.1464,265.31,91,10,5.4,RU,1676233801
343,Sendafa,9.15,39.0333,286.79,31,0,2.27,ET,1676233802
344,Norrköping,58.5942,16.1826,278.7,88,89,2.06,SE,1676233803
345,Santa Cruz Cabrália,-16.2781,-39.0247,302.28,70,40,4.12,BR,1676233804
346,Agirish,61.9247,63.0231,264.04,95,100,3.82,RU,1676233805
347,Mūl,20.0667,79.6667,292.26,26,90,2.89,IN,1676233806
348,Illapel,-31.6308,-71.1653,301.15,32,0,4.23,CL,1676233572
349,Quelimane,-17.8786,36.8883,297.12,94,75,3.09,MZ,1676233807
350,Letchworth,51.9794,-0.2284,281.14,88,100,3.6,GB,1676233808
351,Hambantota,6.1241,81.1185,295.62,85,77,5.07,LK,1676233809
352,Lishu,43.3047,124.3278,261.11,92,16,1.96,CN,1676233810
353,Labuhan,-6.8844,112.2051,296.73,91,100,3.82,ID,1676233811
354,Pukhrāyān,26.2333,79.85,284.42,39,0,3.91,IN,1676233812
355,Belinsky,52.9647,43.4165,267.14,97,100,2.72,RU,1676233812
356,Namanga,-2.5433,36.7905,292.48,48,74,3.77,KE,1676233813
357,Soyo,-6.1349,12.3689,299.76,84,70,3.73,AO,1676233814
358,Rindal,63.0565,9.2124,278.72,95,100,13.4,NO,1676233814
359,Aklavik,68.2191,-135.0107,241.15,75,75,0.0,CA,1676233815
360,Dezhou,37.4486,116.2925,271.33,94,60,2.81,CN,1676233816
361,Dakar,14.6937,-17.4441,294.64,83,0,5.14,SN,1676233801
362,Kalemie,-5.9475,29.1947,294.01,91,100,2.8,CD,1676233817
363,Gao,16.6362,1.637,298.67,15,0,5.75,ML,1676233818
364,San Rafael del Sur,11.8485,-86.4384,305.69,30,2,9.35,NI,1676233819
365,Am Timan,11.0297,20.2827,302.6,15,4,2.92,TD,1676233820
366,Menongue,-14.6585,17.691,293.92,66,67,1.62,AO,1676233820
367,Māngrol,21.1167,70.1167,295.23,37,4,5.91,IN,1676233821
368,Guerrero Negro,27.9769,-114.0611,287.95,60,98,3.49,MX,1676233822
369,Kutum,14.2,24.6667,291.13,20,1,4.12,SD,1676233822
370,Spalding,33.2668,-84.2833,281.93,86,100,4.12,US,1676233823
371,Paramonga,-10.6667,-77.8333,296.32,85,100,2.9,PE,1676233824
372,Ngaoundéré,7.3167,13.5833,294.26,17,7,2.35,CM,1676233824
373,Guarapari,-20.6667,-40.4975,301.42,80,100,6.07,BR,1676233825
374,Angoche,-16.2325,39.9086,297.1,88,100,5.88,MZ,1676233826
375,Acajutla,13.5928,-89.8275,305.21,43,3,6.86,SV,1676233826
376,Wanning,18.8003,110.3967,295.75,95,32,4.08,CN,1676233827
377,Kokopo,-4.352,152.2633,299.05,83,100,3.14,PG,1676233828
378,Harper,4.375,-7.7169,299.79,85,4,3.31,LR,1676233828
379,Hereford,52.0568,-2.7148,280.49,83,0,2.03,GB,1676233829
380,La Ronge,55.1001,-105.2842,273.29,64,75,4.63,CA,1676233835
381,Oistins,13.0667,-59.5333,301.2,47,20,10.8,BB,1676233835
382,Bajil,15.0584,43.2851,297.98,66,0,1.34,YE,1676233836
383,Itambé,-15.245,-40.6244,299.13,69,19,2.58,BR,1676233837
384,Ponta Delgada,37.7333,-25.6667,288.55,82,20,4.63,PT,1676233837
385,Rabo de Peixe,37.8,-25.5833,287.88,82,20,4.63,PT,1676233838
386,Gravdal,68.1214,13.5031,276.11,76,80,20.02,NO,1676233839
387,Kiryat Gat,31.61,34.7642,283.37,80,63,0.68,IL,1676233839
388,Tawao,4.2498,117.8871,296.22,87,95,2.21,MY,1676233840
389,Pemberton,50.3164,-122.8027,276.98,96,100,2.73,CA,1676233830
390,Challans,46.8436,-1.8749,279.26,86,0,3.77,FR,1676233840
391,Shelburne,44.0787,-80.2041,277.57,96,44,2.56,CA,1676233680
392,Ossora,59.2353,163.0719,260.52,95,100,4.64,RU,1676233841
393,Puerto López,4.0845,-72.956,309.18,29,75,2.65,CO,1676233842
394,Poyarkovo,49.6,128.6833,244.77,100,98,1.54,RU,1676233842
395,Camocim,-2.9022,-40.8411,300.65,73,82,6.37,BR,1676233842
396,Baruun-Urt,46.6806,113.2792,252.8,91,5,2.55,MN,1676233843
397,Grand-Lahou,5.1367,-5.0242,300.13,86,15,4.19,CI,1676233844
398,Severo-Yeniseyskiy,60.3725,93.0408,246.04,98,14,1.88,RU,1676233844
399,Wilson,36.1501,-86.2833,287.11,37,0,5.66,US,1676233844
400,Destin,30.3935,-86.4958,291.15,41,0,9.26,US,1676233845
401,Puerto del Rosario,28.5004,-13.8627,292.01,68,100,1.54,ES,1676233845
402,Adré,13.4667,22.2,296.0,16,3,8.2,TD,1676233846
403,Poddor'ye,57.4695,31.1156,271.53,96,100,5.01,RU,1676233846
404,Āzādshahr,34.7909,48.5707,267.42,100,100,0.0,IR,1676233847
405,Taksimo,56.3444,114.8794,254.42,87,94,2.57,RU,1676233847
406,Agüimes,27.9054,-15.4461,289.5,72,100,2.57,ES,1676233848
407,Bandarbeyla,9.4942,50.8122,296.82,67,0,5.86,SO,1676233849
408,Hrebinka,50.1171,32.4361,268.16,86,18,5.61,UA,1676233849
409,College,64.8569,-147.8028,256.25,82,100,1.54,US,1676233715
410,Meulaboh,4.1363,96.1285,297.51,89,100,2.59,ID,1676233850
411,Kautokeino,69.0125,23.0412,271.32,74,92,15.07,NO,1676233850
412,Vanavara,60.34,102.2797,249.4,100,24,1.73,RU,1676233851
413,Yichang,30.7144,111.2847,279.87,86,100,0.44,CN,1676233852
414,Pontes e Lacerda,-15.2261,-59.3353,301.04,71,68,1.62,BR,1676233853
415,Mīnāb,27.1467,57.0801,290.33,72,73,1.03,IR,1676233853
416,Mrągowo,53.8644,21.3051,275.15,95,100,5.33,PL,1676233854
417,Conakry,9.538,-13.6773,301.19,78,0,3.09,GN,1676233855
418,Santa Isabel,-23.3156,-46.2214,296.99,96,100,2.31,BR,1676233765
419,Sur,22.5667,59.5289,294.15,61,0,2.66,OM,1676233856
420,Maceió,-9.6658,-35.7353,301.84,69,40,5.14,BR,1676233568
421,Mahébourg,-20.4081,57.7,299.31,69,40,4.12,MU,1676233856
422,Russell,32.3502,-85.1999,281.75,76,100,6.69,US,1676233857
423,Madimba,-10.4,40.3333,298.76,86,81,3.22,TZ,1676233858
424,Auki,-8.7676,160.7034,299.99,83,98,1.84,SB,1676233858
425,Beliātor,23.3333,87.2167,290.86,20,0,4.34,IN,1676233859
426,Brae,60.3964,-1.353,281.31,82,100,9.72,GB,1676233859
427,Marawi,7.9986,124.2928,292.34,96,100,0.17,PH,1676233860
428,Saint-Paul,-21.0096,55.2707,298.21,82,100,1.77,RE,1676233860
429,Kānt,27.8,79.8,284.92,31,0,5.72,IN,1676233861
430,Bambous Virieux,-20.3428,57.7575,299.29,69,40,4.12,MU,1676233862
431,Paamiut,61.994,-49.6678,252.79,92,8,5.98,GL,1676233862
432,Riviere-au-Renard,48.9957,-64.3971,272.31,82,98,4.18,CA,1676233864
433,Yishui,35.7847,118.6281,272.08,65,100,8.12,CN,1676233865
434,Luanda,-8.8368,13.2343,299.08,79,83,6.67,AO,1676233568
435,Berbera,10.4396,45.0143,296.99,76,0,0.99,SO,1676233866
436,Kirksville,40.1948,-92.5833,286.12,30,0,5.66,US,1676233866
437,Hualmay,-11.0964,-77.6139,296.81,80,100,3.58,PE,1676233867
438,Pak Phanang,8.3511,100.202,297.92,83,99,1.2,TH,1676233868
439,Sakaraha,-22.9,44.5333,297.47,75,99,0.63,MG,1676233869
440,Merauke,-8.4667,140.3333,298.62,90,100,5.24,ID,1676233869
441,Abonnema,4.7084,6.7931,301.41,75,25,4.6,NG,1676233870
442,Hobyo,5.3505,48.5268,297.8,73,42,7.95,SO,1676233871
443,Sycamore,41.9889,-88.6868,284.19,57,0,5.14,US,1676233784
444,Brewster,41.3973,-73.6171,281.85,43,100,0.77,US,1676233871
445,Sobolevo,54.4299,31.8996,266.69,96,93,3.23,RU,1676233872
446,Niigata,37.9022,139.0236,275.33,81,100,3.94,JP,1676233612
447,Doha,25.2867,51.5333,293.14,83,100,4.63,QA,1676233766
448,Giehun,7.8833,-11.05,299.08,69,3,2.63,SL,1676233874
449,Gunnedah,-30.9833,150.25,293.91,73,0,3.86,AU,1676233874
450,Cangzhou,38.3167,116.8667,271.84,64,100,3.55,CN,1676233665
451,Bull Savanna,17.8868,-77.5902,299.56,56,3,5.57,JM,1676233876
452,Srīvardhan,18.0333,73.0167,297.5,34,5,2.58,IN,1676233876
453,Bataiporã,-22.2953,-53.2711,298.79,86,81,2.86,BR,1676233877
454,Deputatsky,69.3,139.9,233.41,100,93,1.17,RU,1676233878
455,Fano,43.8204,13.0121,281.47,68,0,1.31,IT,1676233878
456,Kauhajoki,62.4333,22.1833,277.14,82,100,2.68,FI,1676233879
457,Hanna,51.6334,-111.9018,270.85,77,61,4.02,CA,1676233828
458,Cap-aux-Meules,47.3821,-61.8597,271.18,80,20,6.17,CA,1676233880
459,Passagem Franca,-6.1797,-43.7836,301.28,64,85,1.35,BR,1676233881
460,Karavayevo,55.2961,37.9622,267.26,73,0,4.0,RU,1676233882
461,Dawlatabad,36.4141,64.9053,277.36,67,100,1.58,AF,1676233883
462,Leer,8.3018,30.1418,303.21,24,1,2.44,SS,1676233883
463,Anadyr,64.75,177.4833,240.43,75,20,3.0,RU,1676233884
464,Colares,38.7992,-9.4469,286.47,70,81,1.79,PT,1676233885
465,Ordu,40.9086,37.6845,272.43,87,88,2.29,TR,1676233885
466,Kerman,30.2832,57.0788,288.07,36,40,6.17,IR,1676233886
467,Padang,-0.9492,100.3543,297.18,88,100,1.57,ID,1676233887
468,Salé,34.0389,-6.8166,290.17,62,100,2.06,MA,1676233887
469,Nambucca Heads,-30.65,153.0,295.15,83,12,2.4,AU,1676233888
470,Hattiesburg,31.3271,-89.2903,289.51,24,0,5.14,US,1676233882
471,Constitución,-35.3333,-72.4167,291.99,68,15,6.3,CL,1676233889
472,Whittlesea,-32.1759,26.8244,290.06,89,48,2.61,ZA,1676233890
473,Pingdu,36.7844,119.9464,272.55,55,100,6.56,CN,1676233890
474,Pombas,17.1503,-25.0201,293.03,71,100,4.82,CV,1676233891
475,Saint Anthony,45.0205,-93.218,278.12,61,0,3.6,US,1676233891
476,Husavik,66.0449,-17.3389,273.77,74,100,4.95,IS,1676233892
477,Yinchuan,38.4681,106.2731,268.17,37,100,3.54,CN,1676233893
478,Benguela,-12.5763,13.4055,297.68,78,6,2.3,AO,1676233893
479,Talcahuano,-36.7167,-73.1167,294.97,60,20,6.17,CL,1676233894
480,Kilindoni,-7.9139,39.6668,300.4,73,82,6.65,TZ,1676233894
481,Salalah,17.0151,54.0924,295.2,56,0,1.54,OM,1676233771
482,Black River,18.0264,-77.8487,301.21,54,4,3.65,JM,1676233895
483,Yangi Marg`ilon,40.4272,71.7189,270.55,86,91,2.06,UZ,1676233896
484,Honiara,-9.4333,159.95,300.7,77,50,0.24,SB,1676233896
485,Bukene,-4.2333,32.8833,292.93,77,59,0.94,TZ,1676233897
486,Soto la Marina,23.7667,-98.2167,297.59,30,0,6.76,MX,1676233897
487,Bajos de Haina,18.4154,-70.0332,303.13,70,20,5.14,DO,1676233899
488,Namatanai,-3.6667,152.4333,299.71,82,100,1.54,PG,1676233900
489,Flinders,-34.5833,150.8552,292.14,89,100,0.89,AU,1676233900
490,Alyangula,-13.8483,136.4192,299.48,89,100,6.33,AU,1676233811
491,Pangnirtung,66.1451,-65.7125,237.15,55,20,1.03,CA,1676233901
492,Ust-Maya,60.4167,134.5333,244.0,98,100,1.42,RU,1676233902
493,Saravan,39.7196,45.6483,258.24,84,10,3.12,AM,1676233903
494,Vilhena,-12.7406,-60.1458,304.27,51,40,3.6,BR,1676233903
495,Gayny,60.3071,54.3241,265.24,94,100,3.5,RU,1676233904
496,Hofn,64.2539,-15.2082,276.02,93,100,3.24,IS,1676233904
497,Saint-Pierre,-21.3393,55.4781,297.97,69,0,2.57,RE,1676233905
498,Canavieiras,-15.675,-38.9472,303.13,80,10,2.65,BR,1676233864
499,Nioaque,-21.1353,-55.83,298.3,83,100,1.65,BR,1676233905
500,Las Vegas,36.175,-115.1372,291.53,16,0,10.29,US,1676233831
501,Monteagudo,-19.8167,-63.9833,300.32,53,89,1.48,BO,1676233907
502,Uren',57.4552,45.7852,258.75,100,100,1.86,RU,1676233907
503,Mâncio Lima,-7.6142,-72.8958,302.19,74,75,2.06,BR,1676233907
504,Trairi,-3.2778,-39.2689,300.37,76,88,5.18,BR,1676233900
505,Tiznit Province,29.5833,-9.5,288.63,32,100,4.17,MA,1676233908
506,Necochea,-38.5473,-58.7368,296.37,67,92,8.09,AR,1676233806
507,Bara,10.3744,10.7288,299.68,16,3,6.23,NG,1676233909
508,Te Anau,-45.4167,167.7167,289.54,71,50,0.04,NZ,1676233910
509,Saint-François,46.4154,3.9054,277.02,90,0,1.03,FR,1676233910
510,Bozhou,33.8772,115.7703,275.87,94,100,6.26,CN,1676233911
511,Duku,11.2361,4.9073,302.1,10,5,4.44,NG,1676233911
512,Vilcún,-38.65,-72.2333,292.56,45,99,5.34,CL,1676233912
513,San Jose,37.3394,-121.895,292.32,48,40,3.58,US,1676233771
514,Erzin,36.9559,36.2,278.12,56,0,1.17,TR,1676233913
515,Jumla,29.2747,82.1838,272.77,61,3,1.94,NP,1676233913
516,Batagay-Alyta,67.8006,130.4114,230.99,95,30,2.13,RU,1676233914
517,Quatre Cocos,-20.2078,57.7625,299.21,71,9,6.93,MU,1676233914
518,Arrondissement de Limoges,45.75,1.3333,283.46,46,0,2.57,FR,1676233915
519,Binzhou,37.3667,118.0167,272.17,44,71,5.32,CN,1676233915
520,Henties Bay,-22.116,14.2845,292.25,84,0,3.84,NA,1676233916
521,Mahenge,-8.6833,36.7167,291.25,95,100,0.87,TZ,1676233916
522,Mabaruma,8.2,-59.7833,297.87,86,23,2.98,GY,1676233917
523,Hegang,47.4,130.3667,252.17,98,40,1.78,CN,1676233917
524,Berlevåg,70.8578,29.0864,275.15,80,75,12.86,NO,1676233918
525,Kefamenanu,-9.4467,124.4781,294.26,90,98,0.87,ID,1676233918
526,Abomsa,9.9833,39.9833,293.36,33,0,1.36,ET,1676233919
527,Nanortalik,60.1432,-45.2371,264.63,66,100,5.21,GL,1676233919
528,Halifax,44.6453,-63.5724,280.49,51,39,6.17,CA,1676233777
